"min","max","name"
0000,10000,"All (0-9999)"
0000,0010,"N/A (< 16 years old/never worked/NILF > 5 years)"
0010,0500,"Management, Business, Science, & Arts Occupations"
0500,0800,"Business Operations Specialists"
0800,1000,"Financial Specialists"
1020,1022,"Software developers"
1010,1030,"Programmers, Software developers, QA & testers"
1000,1300,"Computer and Mathematical Occupations"
1000,1300,"Computer and Mathematical & Logisticians"
1300,1600,"Architecture and Engineering Occupations"
1600,2000,"Life, Physical, and Social Science Occupations"
2000,2100,"Community and Social Services Occupations"
2100,2200,"Legal Occupations"
2200,2600,"Education, Training, and Library Occupations"
2600,3000,"Arts, Design, Entertainment, Sports, & Media Occs"
3000,3600,"Healthcare Practitioners & Technical Occupations"
3600,3700,"Healthcare Support Occupations"
3700,4000,"Protective Service Occupations"
4000,4200,"Food Preparation and Serving Occupations"
4200,4300,"Building & Grounds Cleaning & Maintenance Occs"
4300,4700,"Personal Care and Service Occupations"
4700,5000,"Sales and Related Occupations"
5000,6000,"Office and Administrative Support Occupations"
6000,6200,"Farming, Fishing, and Forestry Occupations"
6200,6800,"Construction and Extraction Occupations"
6800,7000,"Extraction Workers"
7000,7700,"Installation, Maintenance, and Repair Workers"
7700,9000,"Production Occupations"
9000,9800,"Transportation and Material Moving Occupations"
9800,9920,"Military Specific Occupations"
9920,9921,"Unemployed, No Work in 5 Years or More"
